instance,solve_time(s),intvars
x_21_8.dat,5.72275,112
x_19_6.dat,5.83087,100
i-ng-60-64-40-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32815.dat,5.91077,128
x_23_0.dat,6.40396,122
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-27127.dat,6.49127,128
x_22_4.dat,6.68311,116
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-28940.dat,6.81139,128
x_23_5.dat,6.94173,122
x_15_4.dat,7.04325,80
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-27650.dat,7.16694,128
x_23_6.dat,7.63291,122
i-ng-60-64-40-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32457.dat,7.77988,128
x_14_2.dat,8.44565,74
x_10_2.dat,8.92041,52
x_23_2.dat,8.92409,122
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-28715.dat,8.99452,128
x_12_2.dat,9.28546,64
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-27574.dat,9.29158,128
i-ng-60-64-40-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32609.dat,9.62377,128
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-27389.dat,9.70598,128
x_23_1.dat,9.8924,122
x_28_1.dat,10.4589,148
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-27353.dat,10.6784,128
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-20.dat,10.861,128
x_14_0.dat,10.878,74
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-2719.dat,11.4785,128
x_16_3.dat,12.2156,84
x_16_1.dat,12.4486,84
x_24_3.dat,12.5471,128
i-ng-60-64-40-18h-12mxP-6mxC-8mxH-2mnH-20171210_07-27-27853.dat,12.7857,128
x_27_4.dat,13.6017,144
i-ng-60-64-40-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32779.dat,14.0134,128
i-ng-60-64-40-12h-8mxP-3mxC-5mxH-2mnH-20171210_07-27-24224.dat,14.0979,128
i-ng-60-96-60-18h-12mxP-6mxC-8mxH-2mnH-20171209_16-38-20.dat,14.5525,192
i-ng-60-64-40-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32833.dat,14.6039,128
x_15_6.dat,14.7012,80
x_15_1.dat,14.7507,80
x_26_8.dat,14.7726,138
x_25_2.dat,15.3424,132
x_19_7.dat,15.8519,100
x_24_2.dat,16.0205,128
x_15_3.dat,16.2571,80
x_26_4.dat,17.0817,138
i-ng-60-64-40-24h-16mxP-8mxC-10mxH-2mnH-20171210_07-27-32595.dat,17.4061,128
x_20_3.dat,18.7288,106
x_25_6.dat,20.0187,132
x_27_7.dat,20.0494,144
x_22_8.dat,20.4539,116
i-ng-60-160-100-12h-8mxP-3mxC-5mxH-2mnH-20171210_07-27-25503.dat,20.6249,320
x_17_2.dat,21.5869,90
x_24_4.dat,21.634,128
i-ng-60-160-100-12h-8mxP-3mxC-5mxH-2mnH-20171210_07-27-25999.dat,21.7879,320
i-ng-60-160-100-12h-8mxP-3mxC-5mxH-2mnH-20171210_07-27-2547.dat,22.1105,320
