instance,solve_time(s),intvars
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-4mnH-2Cnt-20171210_12-53-47596.dat,16.6171,128
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-1mnH-3Cnt-20171210_12-53-53238.dat,18.6281,128
i-ng-60-64-40-24h-24mxP-8mxC-8mxH-6mnH-2Cnt-20171210_12-54-02882.dat,19.746,128
i-ng-60-64-40-24h-24mxP-8mxC-8mxH-6mnH-2Cnt-20171210_12-54-02166.dat,19.8272,128
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-6mnH-2Cnt-20171210_12-53-59152.dat,20.0158,128
i-ng-60-64-40-24h-24mxP-8mxC-16mxH-1mnH-3Cnt-20171210_12-54-00703.dat,21.8332,128
i-ng-60-64-40-24h-24mxP-8mxC-8mxH-6mnH-3Cnt-20171210_12-54-02872.dat,22.3004,128
i-ng-60-64-40-24h-24mxP-8mxC-8mxH-1mnH-3Cnt-20171210_12-54-01670.dat,26.8569,128
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-1mnH-3Cnt-20171210_12-53-5424.dat,29.682,128
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-6mnH-3Cnt-20171210_12-53-59206.dat,30.4962,128
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-6mnH-1Cnt-20171210_12-53-59963.dat,31.4488,128
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-1mnH-3Cnt-20171210_12-53-59941.dat,33.1559,128
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-6mnH-2Cnt-20171210_12-53-59607.dat,33.905,128
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-8mnH-1Cnt-20171210_12-53-54927.dat,35.3847,128
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-6mnH-3Cnt-20171210_12-53-59505.dat,36.3852,128
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-4mnH-3Cnt-20171210_12-53-53632.dat,38.2639,128
i-ng-60-64-40-24h-24mxP-8mxC-8mxH-6mnH-3Cnt-20171210_12-54-02220.dat,41.3861,128
i-ng-60-64-40-24h-24mxP-16mxC-8mxH-1mnH-1Cnt-20171210_12-53-58356.dat,44.0754,128
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-1mnH-2Cnt-20171210_12-53-51530.dat,44.8225,128
i-ng-60-64-40-24h-24mxP-8mxC-8mxH-1mnH-1Cnt-20171210_12-54-0181.dat,61.2693,128
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-4mnH-3Cnt-20171210_12-53-53997.dat,70.4311,128
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-1mnH-2Cnt-20171210_12-53-54762.dat,72.4404,128
i-ng-60-64-40-24h-24mxP-8mxC-8mxH-1mnH-3Cnt-20171210_12-54-01379.dat,86.7423,128
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-8mnH-1Cnt-20171210_12-53-52972.dat,99.15,128
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-1mnH-2Cnt-20171210_12-53-54206.dat,112.967,128
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-1mnH-1Cnt-20171210_12-53-51467.dat,113.272,128
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-1mnH-1Cnt-20171210_12-53-51711.dat,129.152,128
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-8mnH-1Cnt-20171210_12-53-54759.dat,136.487,128
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-8mnH-1Cnt-20171210_12-53-52192.dat,157.932,128
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-1mnH-1Cnt-20171210_12-53-55637.dat,171.134,128
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-1mnH-1Cnt-20171210_12-53-5353.dat,215.125,128
i-ng-60-64-40-24h-24mxP-8mxC-8mxH-1mnH-1Cnt-20171210_12-54-0174.dat,297.037,128
