instance,objective_fuction, solve_time(s)
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-8mnH-1Cnt-20171210_12-53-52972.dat,44,99.15
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-8mnH-1Cnt-20171210_12-53-52192.dat,44,157.932
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-1mnH-3Cnt-20171210_12-53-51853.dat,40,7.82128
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-1mnH-3Cnt-20171210_12-53-51524.dat,39,6.83717
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-1mnH-2Cnt-20171210_12-53-51604.dat,42,13.2563
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-1mnH-2Cnt-20171210_12-53-51530.dat,40,44.8225
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-1mnH-1Cnt-20171210_12-53-51711.dat,43,129.152
i-ng-60-64-40-24h-16mxP-10mxC-10mxH-1mnH-1Cnt-20171210_12-53-51467.dat,43,113.272
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-4mnH-3Cnt-20171210_12-53-53997.dat,42,70.4311
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-4mnH-3Cnt-20171210_12-53-53632.dat,43,38.2639
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-4mnH-2Cnt-20171210_12-53-53238.dat,40,1.08151
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-4mnH-2Cnt-20171210_12-53-53132.dat,40,1.85461
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-4mnH-1Cnt-20171210_12-53-53435.dat,39,300.017
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-4mnH-1Cnt-20171210_12-53-53350.dat,40,300.012
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-1mnH-3Cnt-20171210_12-53-53643.dat,40,300.038
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-1mnH-3Cnt-20171210_12-53-53238.dat,41,18.6281
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-1mnH-2Cnt-20171210_12-53-52737.dat,40,4.23048
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-1mnH-2Cnt-20171210_12-53-52241.dat,40,7.96911
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-1mnH-1Cnt-20171210_12-53-52417.dat,40,1.20002
i-ng-60-64-40-24h-16mxP-10mxC-5mxH-1mnH-1Cnt-20171210_12-53-52178.dat,39,300.211
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-8mnH-3Cnt-20171210_12-53-55645.dat,39,16.4016
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-8mnH-3Cnt-20171210_12-53-55599.dat,41,9.00433
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-8mnH-2Cnt-20171210_12-53-54897.dat,39,14.5191
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-8mnH-2Cnt-20171210_12-53-54392.dat,40,16.0275
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-8mnH-1Cnt-20171210_12-53-54927.dat,43,35.3847
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-8mnH-1Cnt-20171210_12-53-54759.dat,44,136.487
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-1mnH-3Cnt-20171210_12-53-54360.dat,39,300.017
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-1mnH-3Cnt-20171210_12-53-5424.dat,40,29.682
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-1mnH-2Cnt-20171210_12-53-54762.dat,41,72.4404
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-1mnH-2Cnt-20171210_12-53-54206.dat,39,112.967
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-1mnH-1Cnt-20171210_12-53-53795.dat,45,300.016
i-ng-60-64-40-24h-16mxP-5mxC-10mxH-1mnH-1Cnt-20171210_12-53-5353.dat,43,215.125
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-4mnH-3Cnt-20171210_12-53-56802.dat,39,300.904
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-4mnH-3Cnt-20171210_12-53-56313.dat,40,6.01581
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-4mnH-2Cnt-20171210_12-53-55760.dat,39,300.032
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-4mnH-2Cnt-20171210_12-53-5562.dat,40,300.02
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-4mnH-1Cnt-20171210_12-53-55513.dat,40,300.473
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-4mnH-1Cnt-20171210_12-53-55308.dat,40,300.027
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-1mnH-3Cnt-20171210_12-53-55719.dat,43,300.02
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-1mnH-3Cnt-20171210_12-53-55159.dat,41,300.042
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-1mnH-2Cnt-20171210_12-53-55422.dat,40,3.28762
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-1mnH-2Cnt-20171210_12-53-55168.dat,40,305.214
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-1mnH-1Cnt-20171210_12-53-55990.dat,40,300.97
i-ng-60-64-40-24h-16mxP-5mxC-5mxH-1mnH-1Cnt-20171210_12-53-55637.dat,40,171.134
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-4mnH-3Cnt-20171210_12-53-47906.dat,40,6.41703
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-4mnH-3Cnt-20171210_12-53-47293.dat,42,5.17159
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-4mnH-2Cnt-20171210_12-53-47722.dat,39,9.00788
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-4mnH-2Cnt-20171210_12-53-47596.dat,40,16.6171
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-4mnH-1Cnt-20171210_12-53-47511.dat,40,3.15115
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-4mnH-1Cnt-20171210_12-53-47345.dat,40,6.56499
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-1mnH-3Cnt-20171210_12-53-47769.dat,40,5.16668
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-1mnH-3Cnt-20171210_12-53-47135.dat,40,4.14994
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-1mnH-2Cnt-20171210_12-53-47256.dat,39,13.3192
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-1mnH-2Cnt-20171210_12-53-47175.dat,40,1.60541
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-1mnH-1Cnt-20171210_12-53-46640.dat,40,1.65901
i-ng-60-64-40-24h-8mxP-5mxC-5mxH-1mnH-1Cnt-20171210_12-53-46102.dat,38,11.7647
i-ng-60-64-40-24h-8mxP-2mxC-5mxH-4mnH-3Cnt-20171210_12-53-50774.dat,43,300.75
