instance,solve_time(s)
i-ng-0-11-11-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-05,0.00209498
i-ng-30-21-16-16h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-57,0.00143886
i-ng-30-14-11-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-56,0.00152111
i-ng-30-14-11-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-56,0.00105095
i-ng-10-29-26-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-35,0.00153112
i-ng-10-7-6-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-20,0.00180006
i-ng-20-13-11-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-38,0.00149798
i-ng-20-13-11-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-39,0.00193405
i-ng-30-21-16-12h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-31,0.00207901
i-ng-20-25-21-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-46,0.001647
i-ng-30-14-11-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-56,0.00154805
i-ng-30-34-26-12h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-32,0.00103998
i-ng-30-27-21-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-44-02,0.00177097
i-ng-30-27-21-12h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-32,0.00139689
i-ng-30-21-16-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-59,0.00331903
i-ng-20-19-16-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-43-40,0.00162983
i-ng-30-21-16-16h-3mxP-3mxC-2mxH-1mnH-20171209_00-42-56,0.00223303
i-ng-30-8-6-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-53,0.00148106
i-ng-0-1-1-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-33,0.00277281
i-ng-30-8-6-16h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-55,0.00106907
i-ng-30-21-16-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-58,0.00100684
i-ng-30-34-26-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-44-06,0.00162601
i-ng-20-25-21-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-47,0.00192499
i-ng-20-25-21-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-46,0.00234795
i-ng-20-19-16-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-41,0.00175095
i-ng-20-19-16-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-40,0.00139904
i-ng-20-19-16-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-41,0.00155091
i-ng-10-18-16-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-24,0.00178003
i-ng-30-8-6-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-43-53,0.00271106
i-ng-30-34-26-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-02,0.00735593
i-ng-30-14-11-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-55,0.00135899
i-ng-30-1-1-12h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-30,0.00211
i-ng-20-31-26-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-47,0.00156999
i-ng-30-27-21-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-44-00,0.00235009
i-ng-10-29-26-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-32,0.00227618
i-ng-20-19-16-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-42,0.00248003
