x_17_0.dat, 20, 25.25||x_17_0.dat,33,300.016
x_17_1.dat, 19, 600.063||x_17_1.dat,18,32.5478
x_17_2.dat, 19, 100.781||x_17_2.dat,16,21.5869
x_17_3.dat, 21, 3.625||x_17_3.dat,17,300.016
x_17_4.dat, 20, 3.188||x_17_4.dat,16,2.89965
x_17_5.dat, 15, 6.641||x_17_5.dat,13,166.122
x_17_6.dat, 29, 2.609||x_17_6.dat,24,300.024
x_17_7.dat, 12, 2.063||x_17_7.dat,28,33.6917
x_17_8.dat, 30, 22.141||x_17_8.dat,13,3.38005
x_18_0.dat, 19, 2.328||x_18_0.dat,21,35.4247
x_18_1.dat, 22, 3.703||x_18_1.dat,16,300.012
x_18_2.dat, 23, 350.859||x_18_2.dat,24,36.4166
x_18_3.dat, 21, 4.156||x_18_3.dat,26,32.1584
x_18_4.dat, 19, 3.797||x_18_4.dat,22,1.96933
x_18_5.dat, 20, 2.25||x_18_5.dat,21,1.81531
x_18_6.dat, 24, 83.484||x_18_6.dat,16,3.10219
x_18_7.dat, 11, 14.969||x_18_7.dat,29,4.06022
x_18_8.dat, 22, 3.64||x_18_8.dat,21,3.5846
x_19_0.dat, 27, 26.031||x_19_0.dat,21,300.016
x_19_1.dat, 21, 4.032||x_19_1.dat,30,300.016
x_19_2.dat, 19, 33.329||x_19_2.dat,30,300.019
x_19_3.dat, 23, 3.281||x_19_3.dat,21,32.409
x_19_4.dat, 18, 5.078||x_19_4.dat,23,4.07043
x_19_5.dat, 21, 7.985||x_19_5.dat,16,300.016
x_19_6.dat, 22, 6.75||x_19_6.dat,29,5.83087
x_19_7.dat, 22, 3.39||x_19_7.dat,19,15.8519
x_19_8.dat, 28, 89.687||x_19_8.dat,16,4.99885
x_20_0.dat, 23, 8.359||x_20_0.dat,26,300.014
x_20_1.dat, 37, 6.5||x_20_1.dat,19,40.5058
x_20_2.dat, 22, 5.188||x_20_2.dat,26,31.2106
x_20_3.dat, 18, 4.406||x_20_3.dat,21,18.7288
x_20_4.dat, 14, 22.187||x_20_4.dat,22,3.01997
x_20_5.dat, 25, 5.391||x_20_5.dat,24,88.3654
x_20_6.dat, 37, 5.265||x_20_6.dat,28,27.9739
x_20_7.dat, 31, 5.063||x_20_7.dat,21,3.80456
x_20_8.dat, 21, 4.688||x_20_8.dat,29,56.5864
x_21_0.dat, 28, 10.578||x_21_0.dat,23,300.014
x_21_1.dat, 24, 6.719||x_21_1.dat,23,3.57787
x_21_2.dat, 28, 19.14||x_21_2.dat,27,300.014
x_21_3.dat, 37, 6.532||x_21_3.dat,33,300.021
x_21_4.dat, 31, 23.282||x_21_4.dat,24,300.019
x_21_5.dat, 24, 6.171||x_21_5.dat,24,4.08397
x_21_6.dat, 20, 91.266||x_21_6.dat,40,300.023
x_21_7.dat, 29, 26||x_21_7.dat,23,133.449
x_21_8.dat, 26, 4.422||x_21_8.dat,25,5.72275
x_22_0.dat, 36, 6.485||x_22_0.dat,22,5.50104
x_22_1.dat, 14, 2.891||x_22_1.dat,28,99.8734
x_22_2.dat, 30, 14.64||x_22_2.dat,28,300.015
x_22_3.dat, 28, 6.156||x_22_3.dat,30,59.7771
x_22_4.dat, 27, 80.562||x_22_4.dat,21,6.68311
x_22_5.dat, 36, 10.516||x_22_5.dat,36,68.0862
x_22_6.dat, 19, 4.687||x_22_6.dat,26,5.04869
x_22_7.dat, 20, 28.188||x_22_7.dat,27,300.871
x_22_8.dat, 27, 8.734||x_22_8.dat,20,20.4539
x_23_0.dat, 27, 6.547||x_23_0.dat,27,6.40396
x_23_1.dat, 40, 8.219||x_23_1.dat,26,9.8924
x_23_2.dat, 57, 16.781||x_23_2.dat,28,8.92409
x_23_3.dat, 29, 31.5||x_23_3.dat,35,300.011
x_23_4.dat, 24, 7.907||x_23_4.dat,24,39.6238
x_23_5.dat, 26, 121.125||x_23_5.dat,27,6.94173
x_23_6.dat, 28, 7.984||x_23_6.dat,23,7.63291
x_23_7.dat, 30, 69.171||x_23_7.dat,33,130.27
x_23_8.dat, 36, 15.64||x_23_8.dat,33,42.7931
x_24_0.dat, 25.333333333, 600.093||x_24_0.dat,22,71.3331
x_24_1.dat, 27, 11.954||x_24_1.dat,28,39.9654
x_24_2.dat, 25, 12.672||x_24_2.dat,27,16.0205
x_24_3.dat, 26, 126.969||x_24_3.dat,24,12.5471
