instance,objective_fuction, solve_time(s)
x_31_6.dat,53,0.00435209
x_31_7.dat,35,0.00556087
x_31_8.dat,39,232.928
x_32_0.dat,39,0.00524116
x_32_1.dat,26,0.00433993
x_32_2.dat,42,221.384
x_32_3.dat,28,0.00435185
x_32_4.dat,65,294.85
x_32_5.dat,24,273.806
x_32_6.dat,27,0.00410604
x_32_7.dat,37,294.01
x_32_8.dat,33,0.00436401
x_33_0.dat,39,0.00455999
x_33_1.dat,50,248.913
x_33_2.dat,33,0.00477004
x_33_3.dat,51,77.5175
x_33_5.dat,43,244
x_33_6.dat,41,0.00457788
x_33_7.dat,36,52.2459
x_33_8.dat,53,82.7903
x_34_0.dat,63,320.148
x_34_1.dat,42,197.088
x_34_3.dat,42,0.00451994
x_34_4.dat,36,301.707
x_34_5.dat,60,325.181
x_34_6.dat,35,0.0012269
x_34_7.dat,40,194.293
x_34_8.dat,40,0.00112081
x_35_0.dat,45,259.425
x_35_1.dat,42,0.00167179
x_35_2.dat,41,0.00123405
x_35_3.dat,29,0.00121784
x_35_4.dat,28,0.00569296
x_35_5.dat,44,34.6804
x_35_6.dat,64,319.916
x_35_7.dat,60,259.225
x_35_8.dat,53,18.0533
x_36_0.dat,46,315.891
x_36_2.dat,61,201.892
x_36_3.dat,63,307.045
x_36_4.dat,27,0.00165391
x_36_5.dat,46,246.16
x_36_6.dat,64,236.858
x_36_7.dat,43,25.3729
x_36_8.dat,43,0.00201917
x_37_0.dat,39,176.585
x_37_1.dat,55,285.985
x_37_2.dat,91,322.385
x_37_3.dat,46,0.00248003
x_37_4.dat,42,30.9208
x_37_5.dat,38,0.001863
x_37_6.dat,47,0.00252199
x_37_7.dat,46,0.00199199
x_37_8.dat,43,185.187
x_38_0.dat,48,0.0020411
x_38_2.dat,45,0.00163507
x_38_3.dat,44,0.00140786
x_38_4.dat,70,321.889
x_38_5.dat,44,246.34
x_38_6.dat,44,0.0016861
x_38_7.dat,76,236.57
x_38_8.dat,97,276.929
x_39_0.dat,48,0.00216293
x_39_1.dat,49,0.00150585
x_39_2.dat,47,194.848
x_39_3.dat,62,237.999
x_39_4.dat,43,198.921
x_39_5.dat,46,0.00197387
x_39_6.dat,99,334.88
x_39_7.dat,86,322.771
x_39_8.dat,49,0.00229001
x_40_0.dat,51,72.3825
x_40_1.dat,49,0.0018971
x_40_2.dat,38,230.573
x_40_3.dat,31,0.00198388
x_40_5.dat,50,0.00176287
x_40_8.dat,48,102.623
